elem_point_id,code,nom,genre,genre_desc,categorie,categorie_desc,sous_categorie,sous_categorie_desc,code_parent,code_parent_desc,adr_secteur,bien_reference,genre_bota,espece,variete,stadededeveloppement,equipe,remarques,anneedeplantation,raisondeplantation,traitementchenilles,courrier,identifiantplu,typeimplantationplu,intituleprotectionplu,anneeabattage,essouchement,diametrearbre,causeabattage,collectivite,stationmetro,hauteurarbre,portarbre,structure,forme,typenature,geo_point_2d
22967,ESP6829,AR6829,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1301,Jard Dauphins 1ère terrasse ,2,AR6829,Catalpa,bignonioides,,Arbre adulte,,,1980,,,,,,,,,,,Ville de Grenoble,,,,Ville de Grenoble,Tige,,"45.19389089671161,5.720160110202201"
22971,ESP6830,AR6830,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP815,Jard Léon Moret,2,AR6830,Ginkgo,biloba,,Arbre adulte,,,1980,,,,,,,,,,,Ville de Grenoble,,Moins de 10 m,Libre,Ville de Grenoble,Tige,Libre,"45.197970217376856,5.731439444886242"
22976,ESP6831,AR6831,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1302,Montée Chalemont R St Laurent ,2,AR6831,Carpinus,betulus,,Arbre adulte,,,1970,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,Libre,Ville de Grenoble,,Libre,"45.19520711564627,5.728217057112067"
22988,ESP6833,AR6833,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP72,Rte de Clémencières square,2,AR6833,Fraxinus,excelsior,,Arbre adulte,,,1985,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,Libre,Ville de Grenoble,,Libre,"45.19630845699916,5.719176698033342"
22992,ESP6834,AR6834,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1305,Rte Lyon départ Via Ferrata,2,AR6834,Acer,platanoides,,Arbre jeune,,,2009,,,,,,,,,,,Ville de Grenoble,,Moins de 10 m,,Ville de Grenoble,Tige,,"45.19504741241286,5.719913958602919"
22997,ESP6835,AR6835,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP572,Bd Gambetta Lesdigu Boissieux,2,AR6835,Tilia,tomentosa,,Arbre adulte,,Lierre,1960,,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.185739833396795,5.724843143528872"
23001,ESP6836,AR6836,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP573,Bd Gambetta de Hoche à H Ding,2,AR6836,Gleditsia,triacanthos,Inermis skyline,Arbre jeune,,,2008,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Libre,Métropole de Grenoble,Tige,Libre,"45.183012909362915,5.726844095955889"
23006,ESP6837,AR6837,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP963,Caser Bonne Vallons Marceau,2,AR6837,Quercus,cerris,,Arbre jeune,,,2011,,,,,,,,,,,Ville de Grenoble,,Moins de 10 m,Libre,Ville de Grenoble,,Libre,"45.182559739606184,5.7226075563234735"
23022,ESP6840,AR6840,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP817,Jard Hoche P Fugain buttes,2,AR6840,Pinus,sylvestris,,Arbre adulte,,,1978,,Haute,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,Libre,Ville de Grenoble,,Libre,"45.18433240587314,5.726800860002213"
23024,ESP6841,AR6841,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1206,Pl Pasteur Maison étudiants,2,AR6841,Tetradium,daniellii,,Arbre adulte,,,2005,,,,,,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Libre,Métropole de Grenoble,,Libre,"45.18343891990057,5.73132198198811"
20793,ESP7160,AR7160,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1016,Av Berthelot Malifaut G Lussac,4,AR7160,Acer,saccharinum,Wierii,Arbre adulte,,,1978,,,,,,,,,,,Grenoble Alpes Métropole,Alignement,de 10 m à 20 m,Libre,Métropole de Grenoble,Tige,Libre,"45.17991659287129,5.731561039748014"
20797,ESP7161,AR7161,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1085,Av Berthelot IUFM à voie E-O,4,AR7161,Acer,platanoides,,Arbre adulte,,,1982,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Libre,Métropole de Grenoble,Tige,Libre,"45.17459912991869,5.731760989143072"
20804,ESP7162,AR7162,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP209,Bd Joffre Rivet à Pasteur,4,AR7162,Liquidambar,styraciflua,,Arbre adulte,,,2001,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Libre,Métropole de Grenoble,,Libre,"45.182755843371105,5.729448657332285"
20809,ESP7163,AR7163,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP637,Cargo park Est,4,AR7163,Cercis,siliquastrum,,Arbre adulte,,,2003,,,,,,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17249622556879,5.734816890470642"
